Start Event Type,Start Event Description,Equipment Type,Unit Count,Date,Start Event Location Full
IDV,Import Discharged from Vessel,40DV,160,2022-01-07,F
IDV,Import Discharged from Vessel,40DV,128,2022-01-07,C
IDV,Import Discharged from Vessel,40DV,256,2022-01-07,G
IDV,Import Discharged from Vessel,40HC,9040,2022-01-07,A
IDV,Import Discharged from Vessel,40HC,25888,2022-01-07,B
IDV,Import Discharged from Vessel,40HC,4592,2022-01-07,E
IDV,Import Discharged from Vessel,40HC,7088,2022-01-07,F
IDV,Import Discharged from Vessel,40HC,2592,2022-01-07,C
IDV,Import Discharged from Vessel,40HC,4688,2022-01-07,G
IDV,Import Discharged from Vessel,40HR,2832,2022-01-07,A
IDV,Import Discharged from Vessel,40HR,6224,2022-01-07,B
IDV,Import Discharged from Vessel,40HR,192,2022-01-07,E
IDV,Import Discharged from Vessel,40HR,48,2022-01-07,F
IDV,Import Discharged from Vessel,40HR,5568,2022-01-07,C
IDV,Import Discharged from Vessel,40HR,1280,2022-01-07,G
ELV,Export Loaded on Vessel,20DV,5488,2022-01-08,A
ELV,Export Loaded on Vessel,20DV,20432,2022-01-08,B
ELV,Export Loaded on Vessel,20DV,160,2022-01-08,E
ELV,Export Loaded on Vessel,20DV,368,2022-01-08,F
ELV,Export Loaded on Vessel,20DV,6368,2022-01-08,C
ELV,Export Loaded on Vessel,20DV,5920,2022-01-08,G
ELV,Export Loaded on Vessel,20RE,80,2022-01-08,B
ELV,Export Loaded on Vessel,20RE,48,2022-01-08,C
ELV,Export Loaded on Vessel,40DV,976,2022-01-08,A
ELV,Export Loaded on Vessel,40DV,1136,2022-01-08,B
ELV,Export Loaded on Vessel,40DV,128,2022-01-08,E
ELV,Export Loaded on Vessel,40DV,192,2022-01-08,F
ELV,Export Loaded on Vessel,40DV,960,2022-01-08,C
ELV,Export Loaded on Vessel,40DV,112,2022-01-08,G
ELV,Export Loaded on Vessel,40HC,8976,2022-01-08,A
ELV,Export Loaded on Vessel,40HC,19232,2022-01-08,B
ELV,Export Loaded on Vessel,40HC,976,2022-01-08,E
ELV,Export Loaded on Vessel,40HC,2128,2022-01-08,F
ELV,Export Loaded on Vessel,40HC,7072,2022-01-08,C
ELV,Export Loaded on Vessel,40HC,3152,2022-01-08,G
ELV,Export Loaded on Vessel,40HR,1456,2022-01-08,A
ELV,Export Loaded on Vessel,40HR,1248,2022-01-08,B
ELV,Export Loaded on Vessel,40HR,160,2022-01-08,F
ELV,Export Loaded on Vessel,40HR,880,2022-01-08,C
ELV,Export Loaded on Vessel,40HR,1344,2022-01-08,G
IDV,Import Discharged from Vessel,20DV,3392,2022-01-08,A
IDV,Import Discharged from Vessel,20DV,13888,2022-01-08,B
IDV,Import Discharged from Vessel,20DV,1136,2022-01-08,E
IDV,Import Discharged from Vessel,20DV,528,2022-01-08,F
IDV,Import Discharged from Vessel,20DV,4480,2022-01-08,C
IDV,Import Discharged from Vessel,20DV,6416,2022-01-08,G
IDV,Import Discharged from Vessel,20RE,96,2022-01-08,B
IDV,Import Discharged from Vessel,20RE,16,2022-01-08,G
IDV,Import Discharged from Vessel,40DV,320,2022-01-08,A
IDV,Import Discharged from Vessel,40DV,928,2022-01-08,B
IDV,Import Discharged from Vessel,40DV,48,2022-01-08,E
IDV,Import Discharged from Vessel,40DV,512,2022-01-08,C
IDV,Import Discharged from Vessel,40DV,304,2022-01-08,G
IDV,Import Discharged from Vessel,40HC,10224,2022-01-08,A
IDV,Import Discharged from Vessel,40HC,14576,2022-01-08,B
IDV,Import Discharged from Vessel,40HC,384,2022-01-08,E
IDV,Import Discharged from Vessel,40HC,1088,2022-01-08,F
IDV,Import Discharged from Vessel,40HC,6480,2022-01-08,C
IDV,Import Discharged from Vessel,40HC,4240,2022-01-08,G
IDV,Import Discharged from Vessel,40HR,288,2022-01-08,A
IDV,Import Discharged from Vessel,40HR,5344,2022-01-08,B
IDV,Import Discharged from Vessel,40HR,16,2022-01-08,E
IDV,Import Discharged from Vessel,40HR,384,2022-01-08,C
IDV,Import Discharged from Vessel,40HR,112,2022-01-08,G
ELV,Export Loaded on Vessel,20DV,6000,2022-01-09,A
ELV,Export Loaded on Vessel,20DV,8864,2022-01-09,B
ELV,Export Loaded on Vessel,20DV,2144,2022-01-09,E
ELV,Export Loaded on Vessel,20DV,1136,2022-01-09,F
ELV,Export Loaded on Vessel,20DV,8800,2022-01-09,C
ELV,Export Loaded on Vessel,20DV,5136,2022-01-09,G
ELV,Export Loaded on Vessel,20RE,48,2022-01-09,A
ELV,Export Loaded on Vessel,20RE,32,2022-01-09,B
ELV,Export Loaded on Vessel,20RE,32,2022-01-09,C
ELV,Export Loaded on Vessel,40DV,592,2022-01-09,A
ELV,Export Loaded on Vessel,40DV,240,2022-01-09,B
ELV,Export Loaded on Vessel,40DV,112,2022-01-09,E
